symbol_nse,company_name,industry,isin,source_csv
NSE:MOTHERSON-EQ,Samvardhana Motherson International Ltd.,Automobile and Auto Components,INE775A01035,nifty500.csv
NSE:MOTILALOFS-EQ,Motilal Oswal Financial Services Ltd.,Financial Services,INE338I01027,nifty500.csv
NSE:MPHASIS-EQ,MphasiS Ltd.,Information Technology,INE356A01018,nifty500.csv
NSE:MRF-EQ,MRF Ltd.,Automobile and Auto Components,INE883A01011,nifty500.csv
NSE:MRPL-EQ,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,INE103A01014,nifty500.csv
NSE:MSTCLTD-EQ,MSTC Ltd.,Services,INE255X01014,nifty_total_market.csv
NSE:MSUMI-EQ,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,INE0FS801015,nifty500.csv
NSE:MTARTECH-EQ,MTAR Technologies Ltd.,Capital Goods,INE864I01014,nifty_total_market.csv
NSE:MUTHOOTFIN-EQ,Muthoot Finance Ltd.,Financial Services,INE414G01012,nifty500.csv
NSE:NAM-INDIA-EQ,Nippon Life India Asset Management Ltd.,Financial Services,INE298J01013,nifty_total_market.csv
NSE:NATCOPHARM-EQ,NATCO Pharma Ltd.,Healthcare,INE987B01026,nifty500.csv
NSE:NATIONALUM-EQ,National Aluminium Co. Ltd.,Metals & Mining,INE139A01034,nifty500.csv
NSE:NAUKRI-EQ,Info Edge (India) Ltd.,Consumer Services,INE663F01032,nifty500.csv
NSE:NAVA-EQ,Nava Ltd.,Power,INE725A01030,nifty500.csv
NSE:NAVINFLUOR-EQ,Navin Fluorine International Ltd.,Chemicals,INE048G01026,nifty500.csv
NSE:NAZARA-EQ,Nazara Technologies Ltd.,Media Entertainment & Publication,INE418L01047,nifty_total_market.csv
NSE:NBCC-EQ,NBCC (India) Ltd.,Construction,INE095N01031,nifty500.csv
NSE:NCC-EQ,NCC Ltd.,Construction,INE868B01028,nifty500.csv
NSE:NEOGEN-EQ,NEOGEN CHEMICALS LTD.,Chemicals,INE136S01016,nifty_total_market.csv
NSE:NESCO-EQ,NESCO Ltd.,Services,INE317F01035,nifty_total_market.csv
NSE:NESTLEIND-EQ,Nestle India Ltd.,Fast Moving Consumer Goods,INE239A01024,nifty500.csv
NSE:NETWEB-EQ,Netweb Technologies India Ltd.,Information Technology,INE0NT901020,nifty500.csv
NSE:NETWORK18-EQ,Network18 Media & Investments Ltd.,Media Entertainment & Publication,INE870H01013,nifty_total_market.csv
NSE:NEULANDLAB-EQ,Neuland Laboratories Ltd.,Healthcare,INE794A01010,nifty500.csv
NSE:NEWGEN-EQ,Newgen Software Technologies Ltd.,Information Technology,INE619B01017,nifty500.csv
NSE:NFL-EQ,National Fertilizers Ltd.,Chemicals,INE870D01012,nifty_total_market.csv
NSE:NH-EQ,Narayana Hrudayalaya Ltd.,Healthcare,INE410P01011,nifty500.csv
NSE:NHPC-EQ,NHPC Ltd.,Power,INE848E01016,nifty500.csv
NSE:NIACL-EQ,The New India Assurance Company Ltd.,Financial Services,INE470Y01017,nifty500.csv
NSE:NIVABUPA-EQ,Niva Bupa Health Insurance Company Ltd.,Financial Services,INE995S01015,nifty500.csv
NSE:NLCINDIA-EQ,NLC India Ltd.,Power,INE589A01014,nifty500.csv
NSE:NMDC-EQ,NMDC Ltd.,Metals & Mining,INE584A01023,nifty500.csv
NSE:NSLNISP-EQ,NMDC Steel Ltd.,Metals & Mining,INE0NNS01018,nifty500.csv
NSE:NTPC-EQ,NTPC Ltd.,Power,INE733E01010,nifty500.csv
NSE:NTPCGREEN-EQ,NTPC Green Energy Ltd.,Power,INE0ONG01011,nifty500.csv
NSE:NUVAMA-EQ,Nuvama Wealth Management Ltd.,Financial Services,INE531F01023,nifty500.csv
NSE:NUVOCO-EQ,Nuvoco Vistas Corporation Ltd.,Construction Materials,INE118D01016,nifty500.csv
NSE:NYKAA-EQ,FSN E-Commerce Ventures Ltd.,Consumer Services,INE388Y01029,nifty500.csv
NSE:OBEROIRLTY-EQ,Oberoi Realty Ltd.,Realty,INE093I01010,nifty500.csv
NSE:OFSS-EQ,Oracle Financial Services Software Ltd.,Information Technology,INE881D01027,nifty500.csv
NSE:OIL-EQ,Oil India Ltd.,Oil Gas & Consumable Fuels,INE274J01014,nifty500.csv
NSE:OLAELEC-EQ,Ola Electric Mobility Ltd.,Automobile and Auto Components,INE0LXG01040,nifty500.csv
NSE:OLECTRA-EQ,Olectra Greentech Ltd.,Automobile and Auto Components,INE260D01016,nifty500.csv
NSE:ONESOURCE-EQ,Onesource Specialty Pharma Ltd.,Healthcare,INE013P01021,nifty500.csv
NSE:ONGC-EQ,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,INE213A01029,nifty500.csv
NSE:OPTIEMUS-EQ,Optiemus Infracom Ltd.,Telecommunication,INE350C01017,nifty_total_market.csv
NSE:ORIENTCEM-EQ,Orient Cement Ltd.,Construction Materials,INE876N01018,nifty_total_market.csv
NSE:ORKLAINDIA-EQ,Orkla India Ltd.,Fast Moving Consumer Goods,INE16NZ01023,nifty_total_market.csv
NSE:OSWALPUMPS-EQ,Oswal Pumps Ltd.,Capital Goods,INE0BYP01024,nifty_total_market.csv
NSE:PAGEIND-EQ,Page Industries Ltd.,Textiles,INE761H01022,nifty500.csv
NSE:PARADEEP-EQ,Paradeep Phosphates Ltd.,Chemicals,INE088F01024,nifty_total_market.csv
NSE:PARAS-EQ,Paras Defence and Space Technologies Ltd.,Capital Goods,INE045601023,nifty_total_market.csv
NSE:PARKHOSPS-EQ,Park Medi World Ltd.,Healthcare,INE119201023,nifty_total_market.csv
NSE:PATANJALI-EQ,Patanjali Foods Ltd.,Fast Moving Consumer Goods,INE619A01035,nifty500.csv
NSE:PAYTM-EQ,One 97 Communications Ltd.,Financial Services,INE982J01020,nifty500.csv
NSE:PCBL-EQ,PCBL Chemical Ltd.,Chemicals,INE602A01031,nifty500.csv
NSE:PCJEWELLER-EQ,PC Jeweller Ltd.,Consumer Durables,INE785M01021,nifty_total_market.csv
NSE:PERSISTENT-EQ,Persistent Systems Ltd.,Information Technology,INE262H01021,nifty500.csv
NSE:PETRONET-EQ,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,INE347G01014,nifty500.csv
NSE:PFC-EQ,Power Finance Corporation Ltd.,Financial Services,INE134E01011,nifty500.csv
NSE:PFIZER-EQ,Pfizer Ltd.,Healthcare,INE182A01018,nifty500.csv
NSE:PFOCUS-EQ,Prime Focus Ltd,Media Entertainment & Publication,INE367G01038,nifty_total_market.csv
NSE:PGEL-EQ,PG Electroplast Ltd.,Consumer Durables,INE457L01029,nifty500.csv
NSE:PGHH-EQ,Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,INE179A01014,nifty500.csv
NSE:PGIL-EQ,Pearl Global Industries Ltd.,Textiles,INE940H01022,nifty_total_market.csv
NSE:PHOENIXLTD-EQ,Phoenix Mills Ltd.,Realty,INE211B01039,nifty500.csv
NSE:PICCADIL-EQ,Piccadily Agro Industries Ltd.,Fast Moving Consumer Goods,INE546C01010,nifty_total_market.csv
NSE:PIDILITIND-EQ,Pidilite Industries Ltd.,Chemicals,INE318A01026,nifty500.csv
NSE:PIIND-EQ,PI Industries Ltd.,Chemicals,INE603J01030,nifty500.csv
NSE:PINELABS-EQ,Pine Labs Ltd.,Financial Services,INE15B701018,nifty_total_market.csv
NSE:PIRAMALFIN-EQ,Piramal Finance Ltd.,Financial Services,INE202B01038,nifty_total_market.csv
NSE:PNB-EQ,Punjab National Bank,Financial Services,INE160A01022,nifty500.csv
NSE:PNBHOUSING-EQ,PNB Housing Finance Ltd.,Financial Services,INE572E01012,nifty500.csv
NSE:PNCINFRA-EQ,PNC Infratech Ltd.,Construction,INE195J01029,nifty_total_market.csv
NSE:PNGJL-EQ,P N Gadgil Jewellers Ltd.,Consumer Durables,INE953R01016,nifty_total_market.csv
NSE:POLICYBZR-EQ,PB Fintech Ltd.,Financial Services,INE417T01026,nifty500.csv
NSE:POLYCAB-EQ,Polycab India Ltd.,Capital Goods,INE455K01017,nifty500.csv
NSE:POLYMED-EQ,Poly Medicure Ltd.,Healthcare,INE205C01021,nifty500.csv
NSE:POONAWALLA-EQ,Poonawalla Fincorp Ltd.,Financial Services,INE511C01022,nifty500.csv
NSE:POWERGRID-EQ,Power Grid Corporation of India Ltd.,Power,INE752E01010,nifty500.csv
NSE:POWERINDIA-EQ,Hitachi Energy India Ltd.,Capital Goods,INE07Y701011,nifty500.csv
NSE:POWERMECH-EQ,Power Mech Projects Ltd.,Construction,INE211R01019,nifty_total_market.csv
NSE:PPLPHARMA-EQ,Piramal Pharma Ltd.,Healthcare,INE0DK501011,nifty500.csv
NSE:PRAJIND-EQ,Praj Industries Ltd.,Capital Goods,INE074A01025,nifty500.csv
NSE:PREMIERENE-EQ,Premier Energies Ltd.,Capital Goods,INE0BS701011,nifty500.csv
NSE:PRESTIGE-EQ,Prestige Estates Projects Ltd.,Realty,INE811K01011,nifty500.csv
NSE:PRICOLLTD-EQ,Pricol Ltd.,Automobile and Auto Components,INE726V01018,nifty_total_market.csv
NSE:PRIVISCL-EQ,Privi Speciality Chemicals Ltd.,Chemicals,INE959A01019,nifty_total_market.csv
NSE:PRSMJOHNSN-EQ,Prism Johnson Ltd.,Construction Materials,INE010A01011,nifty_total_market.csv
NSE:PRUDENT-EQ,Prudent Corporate Advisory Services Ltd.,Financial Services,INE00F201020,nifty_total_market.csv
NSE:PTC-EQ,PTC India Ltd.,Power,INE877F01012,nifty_total_market.csv
NSE:PTCIL-EQ,PTC Industries Ltd.,Capital Goods,INE596F01018,nifty500.csv
NSE:PURVA-EQ,Puravankara Ltd.,Realty,INE323I01011,nifty_total_market.csv
NSE:PVRINOX-EQ,PVR INOX Ltd.,Media Entertainment & Publication,INE191H01014,nifty500.csv
NSE:PWL-EQ,Physicswallah Ltd.,Consumer Services,INE0LP301011,nifty_total_market.csv
NSE:QPOWER-EQ,Quality Power Electrical Equipments Ltd.,Capital Goods,INE0SII01026,nifty_total_market.csv
NSE:QUESS-EQ,Quess Corp Ltd.,Services,INE615P01015,nifty_total_market.csv
NSE:RADICO-EQ,Radico Khaitan Ltd,Fast Moving Consumer Goods,INE944F01028,nifty500.csv
NSE:RAILTEL-EQ,Railtel Corporation Of India Ltd.,Telecommunication,INE0DD101019,nifty500.csv
NSE:RAIN-EQ,Rain Industries Ltd,Chemicals,INE855B01025,nifty_total_market.csv
NSE:RAINBOW-EQ,Rainbow Childrens Medicare Ltd.,Healthcare,INE961O01016,nifty500.csv
NSE:RALLIS-EQ,Rallis India Ltd.,Chemicals,INE613A01020,nifty_total_market.csv
NSE:RAMCOCEM-EQ,The Ramco Cements Ltd.,Construction Materials,INE331A01037,nifty500.csv
NSE:RATEGAIN-EQ,Rategain Travel Technologies Ltd.,Information Technology,INE0CLI01024,nifty_total_market.csv
NSE:RAYMONDLSL-EQ,Raymond Lifestyle Ltd.,Textiles,INE02ID01020,nifty_total_market.csv
NSE:RBA-EQ,Restaurant Brands Asia Ltd.,Consumer Services,INE07T201019,nifty_total_market.csv
NSE:RBLBANK-EQ,RBL Bank Ltd.,Financial Services,INE976G01028,nifty500.csv
NSE:RCF-EQ,Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,INE027A01015,nifty500.csv
NSE:RECLTD-EQ,REC Ltd.,Financial Services,INE020B01018,nifty500.csv
NSE:REDINGTON-EQ,Redington Ltd.,Services,INE891D01026,nifty500.csv
NSE:REDTAPE-EQ,Redtape Ltd.,Consumer Durables,INE0LXT01019,nifty_total_market.csv
NSE:REFEX-EQ,Refex Industries Ltd.,Chemicals,INE056I01025,nifty_total_market.csv
NSE:RELAXO-EQ,Relaxo Footwears Ltd.,Consumer Durables,INE131B01039,nifty_total_market.csv
NSE:RELIANCE-EQ,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,INE002A01018,nifty500.csv
NSE:RELIGARE-EQ,Religare Enterprises Ltd.,Financial Services,INE621H01010,nifty_total_market.csv
NSE:RENUKA-EQ,Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,INE087H01022,nifty_total_market.csv
NSE:RHIM-EQ,RHI MAGNESITA INDIA LTD.,Capital Goods,INE743M01012,nifty500.csv
NSE:RITES-EQ,RITES Ltd.,Construction,INE320J01015,nifty500.csv
NSE:RKFORGE-EQ,Ramkrishna Forgings Ltd.,Automobile and Auto Components,INE399G01023,nifty500.csv
NSE:ROUTE-EQ,Route Mobile Ltd.,Telecommunication,INE450U01017,nifty_total_market.csv
NSE:RPOWER-EQ,Reliance Power Ltd.,Power,INE614G01033,nifty500.csv
NSE:RRKABEL-EQ,R R Kabel Ltd.,Capital Goods,INE777K01022,nifty500.csv
NSE:RTNINDIA-EQ,RattanIndia Enterprises Ltd.,Consumer Services,INE834M01019,nifty_total_market.csv
NSE:RTNPOWER-EQ,RattanIndia Power Ltd.,Power,INE399K01017,nifty_total_market.csv
NSE:RUBICON-EQ,Rubicon Research Ltd.,Healthcare,INE506V01022,nifty_total_market.csv
NSE:RVNL-EQ,Rail Vikas Nigam Ltd.,Construction,INE415G01027,nifty500.csv
NSE:SAATVIKGL-EQ,Saatvik Green Energy Ltd.,Capital Goods,INE13B501022,nifty_total_market.csv
NSE:SAFARI-EQ,Safari Industries (India) Ltd.,Consumer Durables,INE429E01023,nifty_total_market.csv
NSE:SAGILITY-EQ,Sagility Ltd.,Information Technology,INE0W2G01015,nifty500.csv
NSE:SAIL-EQ,Steel Authority of India Ltd.,Metals & Mining,INE114A01011,nifty500.csv
NSE:SAILIFE-EQ,Sai Life Sciences Ltd.,Healthcare,INE570L01029,nifty500.csv
NSE:SAMHI-EQ,Samhi Hotels Ltd.,Consumer Services,INE08U801020,nifty_total_market.csv
NSE:SAMMAANCAP-EQ,Sammaan Capital Ltd.,Financial Services,INE148I01020,nifty500.csv
NSE:SANDUMA-EQ,Sandur Manganese & Iron Ores Ltd.,Oil Gas & Consumable Fuels,INE149K01016,nifty_total_market.csv
NSE:SANSERA-EQ,Sansera Engineering Ltd.,Automobile and Auto Components,INE953O01021,nifty_total_market.csv
NSE:SAPPHIRE-EQ,Sapphire Foods India Ltd.,Consumer Services,INE806T01020,nifty500.csv
NSE:SARDAEN-EQ,Sarda Energy and Minerals Ltd.,Metals & Mining,INE385C01021,nifty500.csv
NSE:SAREGAMA-EQ,Saregama India Ltd,Media Entertainment & Publication,INE979A01025,nifty500.csv
NSE:SBFC-EQ,SBFC Finance Ltd.,Financial Services,INE423Y01016,nifty500.csv
NSE:SBICARD-EQ,SBI Cards and Payment Services Ltd.,Financial Services,INE018E01016,nifty500.csv
NSE:SBILIFE-EQ,SBI Life Insurance Company Ltd.,Financial Services,INE123W01016,nifty500.csv
NSE:SBIN-EQ,State Bank of India,Financial Services,INE062A01020,nifty500.csv
NSE:SCHAEFFLER-EQ,Schaeffler India Ltd.,Automobile and Auto Components,INE513A01022,nifty500.csv
NSE:SCHNEIDER-BE,Schneider Electric Infrastructure Ltd.,Capital Goods,INE839M01018,nifty_total_market.csv
NSE:SCI-EQ,Shipping Corporation of India Ltd.,Services,INE109A01011,nifty500.csv
NSE:SENCO-EQ,Senco Gold Ltd.,Consumer Durables,INE602W01027,nifty_total_market.csv
NSE:SFL-EQ,Sheela Foam Ltd.,Consumer Durables,INE916U01025,nifty_total_market.csv
NSE:SHAILY-EQ,Shaily Engineering Plastics Ltd.,Consumer Durables,INE151G01028,nifty_total_market.csv
NSE:SHAKTIPUMP-EQ,Shakti Pumps (India) Ltd.,Capital Goods,INE908D01010,nifty_total_market.csv
NSE:SHARDACROP-EQ,Sharda Cropchem Ltd.,Chemicals,INE221J01015,nifty_total_market.csv
NSE:SHAREINDIA-EQ,Share India Securities Ltd.,Financial Services,INE932X01026,nifty_total_market.csv
NSE:SHILPAMED-EQ,Shilpa Medicare Ltd.,Healthcare,INE790G01031,nifty_total_market.csv
NSE:SHREECEM-EQ,Shree Cement Ltd.,Construction Materials,INE070A01015,nifty500.csv
NSE:SHRIPISTON-EQ,Shriram Pistons & Rings Ltd.,Automobile and Auto Components,INE526E01018,nifty_total_market.csv
NSE:SHRIRAMFIN-EQ,Shriram Finance Ltd.,Financial Services,INE721A01047,nifty500.csv
NSE:SHYAMMETL-EQ,Shyam Metalics and Energy Ltd.,Capital Goods,INE810G01011,nifty500.csv
NSE:SIEMENS-EQ,Siemens Ltd.,Capital Goods,INE003A01024,nifty500.csv
NSE:SIGNATURE-EQ,Signatureglobal (India) Ltd.,Realty,INE903U01023,nifty500.csv
NSE:SJVN-EQ,SJVN Ltd.,Power,INE002L01015,nifty500.csv
NSE:SKFINDIA-EQ,SKF India Ltd.,Automobile and Auto Components,INE640A01023,nifty_total_market.csv
NSE:SKFINDUS-EQ,SKF India (Industrial) Ltd.,Capital Goods,INE2J8701016,nifty_total_market.csv
NSE:SKIPPER-EQ,Skipper Ltd.,Capital Goods,INE439E01022,nifty_total_market.csv
